,id,speaker,text,topic,token,polarity,subjectivity,certainty
149,18,KAMALA HARRIS,Let's talk about what Donald Trump left us,economy,"['let', 'is', 'talk', 'what', 'donald', 'tramp', 'left']",0.0,0.0,1.0
150,18,KAMALA HARRIS,Donald Trump left us the worst unemployment since the Great Depression,economy,"['donald', 'tramp', 'left', 'the', 'worst', 'unemployment', 'the', 'great', 'depression']",-0.06666666666666665,0.5833333333333334,1.0
151,18,KAMALA HARRIS,Donald Trump left us the worst public health epidemic in a century,economy,"['donald', 'tramp', 'left', 'the', 'worst', 'public', 'health', 'epidemic', 'a', 'century']",-0.3333333333333333,0.35555555555555557,1.0
152,18,KAMALA HARRIS,Donald Trump left us the worst attack on our democracy since the Civil War,economy,"['donald', 'tramp', 'left', 'the', 'worst', 'attack', 'democracy', 'the', 'civil', 'war']",-0.5,0.5,1.0
153,18,KAMALA HARRIS,And what we have done is clean up Donald Trump's mess,economy,"['what', 'have', 'do', 'be', 'clean', 'donald', 'tramp', 'is', 'mess']",0.09583333333333335,0.4375,1.0
154,18,KAMALA HARRIS,What we have done and what I intend to do is build on what we know are the aspirations and the hopes of the American people,economy,"['what', 'have', 'do', 'what', 'intend', 'do', 'be', 'build', 'what', 'know', 'be', 'the', 'aspiration', 'the', 'hope', 'the', 'american', 'person']",0.0,0.0,1.0
155,18,KAMALA HARRIS,"But I'm going to tell you all, in this debate tonight, you're going to hear from the same old, tired playbook, a bunch of lies, grievances and name-calling",economy,"['be', 'go', 'tell', 'all', 'this', 'debate', 'tonight', 'be', 'go', 'hear', 'the', 'same', 'old', 'tire', 'playbook', 'a', 'bunch', 'lie', 'grievance', 'name-calling']",0.05,0.1625,-0.5
156,18,KAMALA HARRIS,What you're going to hear tonight is a detailed and dangerous plan called Project 2025 that the former president intends on implementing if he were elected again,economy,"['what', 'be', 'go', 'hear', 'tonight', 'be', 'a', 'detailed', 'dangerous', 'plan', 'call', 'project', '2025', 'the', 'former', 'president', 'intend', 'implement', 'be', 'elect', 'again']",0.15000000000000002,0.6375,0.75
157,18,KAMALA HARRIS,I believe very strongly that the American people want a president who understands the importance of bringing us together knowing we have so much more in common than what separates us,economy,"['believe', 'very', 'strongly', 'the', 'american', 'person', 'want', 'a', 'president', 'who', 'understand', 'the', 'importance', 'bring', 'together', 'know', 'have', 'so', 'much', 'more', 'common', 'what', 'separate']",0.19083333333333335,0.4883333333333333,0.125
158,18,KAMALA HARRIS,And I pledge to you to be a president for all Americans.,economy,"['pledge', 'be', 'a', 'president', 'all', 'americans']",0.0,0.0,1.0
